"","Sample","# ARG","# mobileARG_2","Stage","val"
"MMRS54246132ST","MMRS54246132ST",86,1,"CTRL",1
"MMRS56137463ST","MMRS56137463ST",130,7,"CTRL",7
"MMRS57276462ST","MMRS57276462ST",85,1,"CTRL",1
"MMRS57569834ST","MMRS57569834ST",85,4,"CTRL",4
"MMRS61683006ST","MMRS61683006ST",99,1,"CTRL",1
"MMRS62192467ST","MMRS62192467ST",67,3,"CTRL",3
"MMRS62666492ST","MMRS62666492ST",78,1,"CTRL",1
"MMRS64281551ST","MMRS64281551ST",120,1,"CTRL",1
"MMRS65742083ST","MMRS65742083ST",140,5,"CTRL",5
"MMRS65862658ST","MMRS65862658ST",111,1,"CTRL",1
"MMRS66868025ST","MMRS66868025ST",76,0,"CTRL",0
"MMRS67096717ST","MMRS67096717ST",69,6,"CTRL",6
"MMRS68630931ST","MMRS68630931ST",58,0,"CTRL",0
"MMRS73787048ST","MMRS73787048ST",102,1,"CTRL",1
"MMRS79893829ST","MMRS79893829ST",58,1,"CTRL",1
"MMRS81130264ST","MMRS81130264ST",80,3,"CTRL",3
"MMRS81135225ST","MMRS81135225ST",90,4,"CTRL",4
"MMRS84085284ST","MMRS84085284ST",59,3,"CTRL",3
"MMRS84159866ST","MMRS84159866ST",87,0,"CTRL",0
"MMRS85438660ST","MMRS85438660ST",64,4,"CTRL",4
"MMRS85548821ST","MMRS85548821ST",73,4,"CTRL",4
"MMRS86168210ST","MMRS86168210ST",129,0,"CTRL",0
"MMRS87723283ST","MMRS87723283ST",67,6,"CTRL",6
"MMRS88581325ST","MMRS88581325ST",116,5,"CTRL",5
"MMRS91297590ST","MMRS91297590ST",72,3,"CTRL",3
"MMRS92546335ST","MMRS92546335ST",54,0,"CTRL",0
"MMRS93621581ST","MMRS93621581ST",116,3,"CTRL",3
"MMRS94549160ST","MMRS94549160ST",158,5,"CTRL",5
"MMRS95277876ST","MMRS95277876ST",76,2,"CTRL",2
"MMRS95479054ST","MMRS95479054ST",99,1,"CTRL",1
"MMRS95674036ST","MMRS95674036ST",64,1,"CTRL",1
"MMRS97307143ST","MMRS97307143ST",66,0,"CTRL",0
"MG100150","MG100150",15,0,"CRC",0
"MG100152","MG100152",26,0,"CRC",0
"MG100153","MG100153",39,0,"CTRL",0
"MG100154","MG100154",42,0,"CTRL",0
"MG100127","MG100127",18,0,"CRC",0
"MG100155","MG100155",13,0,"CTRL",0
"MG100160","MG100160",20,1,"CTRL",1
"MG100162","MG100162",18,0,"CTRL",0
"MG100163","MG100163",1,0,"CTRL",0
"MG100164","MG100164",12,0,"CTRL",0
"MG100169","MG100169",16,0,"CTRL",0
"MG100125","MG100125",18,0,"CRC",0
"MG100126","MG100126",23,0,"CRC",0
"MG100128","MG100128",30,2,"CRC",2
"MG100129","MG100129",28,0,"CRC",0
"MG100130","MG100130",29,0,"CRC",0
"MG100131","MG100131",28,2,"CRC",2
"MG100132","MG100132",43,5,"CRC",5
"MG100133","MG100133",40,0,"CRC",0
"MG100134","MG100134",81,0,"CRC",0
"MG100136","MG100136",26,0,"CRC",0
"MG100137","MG100137",90,10,"CRC",10
"MG100138","MG100138",32,0,"CRC",0
"MG100139","MG100139",95,0,"CRC",0
"MG100140","MG100140",20,0,"CRC",0
"MG100141","MG100141",83,1,"CRC",1
"MG100143","MG100143",26,1,"CRC",1
"MG100144","MG100144",31,0,"CRC",0
"MG100145","MG100145",62,1,"CRC",1
"MG100146","MG100146",21,0,"CRC",0
"MG100147","MG100147",104,6,"CRC",6
"MG100148","MG100148",57,1,"CRC",1
"MG100149","MG100149",17,0,"CRC",0
"MG100151","MG100151",24,0,"CRC",0
"MG100156","MG100156",21,0,"CTRL",0
"MG100157","MG100157",25,1,"CTRL",1
"MG100158","MG100158",103,1,"CTRL",1
"MG100159","MG100159",20,0,"CTRL",0
"MG100161","MG100161",70,0,"CTRL",0
"MG100165","MG100165",47,2,"CTRL",2
"MG100166","MG100166",32,0,"CTRL",0
"MG100167","MG100167",23,0,"CTRL",0
"MG100168","MG100168",89,0,"CTRL",0
"MG100170","MG100170",14,0,"CTRL",0
"MG100171","MG100171",31,0,"CTRL",0
"MG100172","MG100172",16,1,"CTRL",1
"MG100173","MG100173",86,1,"CTRL",1
"MG100174","MG100174",25,0,"CTRL",0
"MG100175","MG100175",31,0,"CTRL",0
"MG100176","MG100176",22,0,"CTRL",0
"MG100177","MG100177",16,0,"CTRL",0
"MG100178","MG100178",47,0,"CTRL",0
"MG100179","MG100179",42,4,"CTRL",4
"MG100180","MG100180",43,0,"CTRL",0
"GF15","GF15",135,5,"CRC",5
"SBJ01C","SBJ01C",153,11,"CRC",11
"SBJ02C","SBJ02C",99,5,"CRC",5
"SBJ04C","SBJ04C",75,3,"CRC",3
"SBJ05C","SBJ05C",84,7,"CRC",7
"SBJ06C","SBJ06C",182,12,"CRC",12
"SBJ07C","SBJ07C",102,7,"CRC",7
"SBJ10C","SBJ10C",93,8,"CRC",8
"SBJ11C","SBJ11C",144,10,"CRC",10
"SBJ12C","SBJ12C",79,12,"CRC",12
"SBJ20C","SBJ20C",170,8,"CRC",8
"SBJ22C","SBJ22C",58,3,"CRC",3
"SBJ25C","SBJ25C",138,7,"CRC",7
"SBJ26C","SBJ26C",94,9,"CRC",9
"SBJ27C","SBJ27C",80,6,"CRC",6
"SBJ29C","SBJ29C",100,1,"CRC",1
"SBJ31C","SBJ31C",55,2,"CRC",2
"SBJ32C","SBJ32C",85,1,"CRC",1
"SBJ33C","SBJ33C",95,5,"CRC",5
"SBJ35C","SBJ35C",80,3,"CRC",3
"SBJ36C","SBJ36C",134,9,"CRC",9
"SBJ39C","SBJ39C",68,5,"CRC",5
"SBJ40C","SBJ40C",118,6,"CRC",6
"SBJ42C","SBJ42C",190,20,"CRC",20
"SBJ47C","SBJ47C",80,3,"CRC",3
"SBJ49C","SBJ49C",91,7,"CRC",7
"SBJ50C","SBJ50C",90,3,"CRC",3
"SBJ51C","SBJ51C",132,7,"CRC",7
"SBJ52C","SBJ52C",75,5,"CRC",5
"SBJ53C","SBJ53C",89,2,"CRC",2
"SBJ55C","SBJ55C",99,6,"CRC",6
"SBJ61C","SBJ61C",159,8,"CRC",8
"SBJ64C","SBJ64C",95,2,"CRC",2
"VF100","VF100",107,5,"CRC",5
"VF107","VF107",144,14,"CRC",14
"VF114","VF114",153,10,"CRC",10
"VF120","VF120",161,22,"CRC",22
"VF145","VF145",89,6,"CRC",6
"VF154","VF154",187,8,"CRC",8
"VF166","VF166",102,3,"CRC",3
"VF174","VF174",52,4,"CRC",4
"VF176","VF176",77,11,"CRC",11
"VF192","VF192",125,4,"CRC",4
"VF207","VF207",158,8,"CRC",8
"VF208","VF208",87,1,"CRC",1
"VF216","VF216",108,11,"CRC",11
"VF217","VF217",204,18,"CRC",18
"VF232","VF232",62,6,"CRC",6
"VF234","VF234",165,8,"CRC",8
"VF251","VF251",65,8,"CRC",8
"VF264","VF264",104,5,"CRC",5
"VF270","VF270",154,15,"CRC",15
"VF273","VF273",201,12,"CRC",12
"VF281","VF281",132,5,"CRC",5
"VF29","VF29",72,5,"CRC",5
"VF300","VF300",181,11,"CRC",11
"VF65","VF65",197,16,"CRC",16
"VF71","VF71",132,3,"CRC",3
"VF73","VF73",147,9,"CRC",9
"VF77","VF77",105,11,"CRC",11
"VF95","VF95",125,4,"CRC",4
"GF06","GF06",152,9,"CTRL",9
"SBJ03H","SBJ03H",76,6,"CTRL",6
"SBJ16H","SBJ16H",77,6,"CTRL",6
"SBJ17H","SBJ17H",67,12,"CTRL",12
"SBJ18H","SBJ18H",72,3,"CTRL",3
"SBJ21H","SBJ21H",83,8,"CTRL",8
"SBJ24H","SBJ24H",138,4,"CTRL",4
"SBJ34H","SBJ34H",77,5,"CTRL",5
"SBJ37H","SBJ37H",36,4,"CTRL",4
"SBJ45H","SBJ45H",161,9,"CTRL",9
"SBJ46H","SBJ46H",101,9,"CTRL",9
"SBJ57H","SBJ57H",87,4,"CTRL",4
"SBJ60H","SBJ60H",119,7,"CTRL",7
"SBJ63H","SBJ63H",172,14,"CTRL",14
"SBJ65H","SBJ65H",71,1,"CTRL",1
"SBJ67H","SBJ67H",96,3,"CTRL",3
"SBJ68H","SBJ68H",98,6,"CTRL",6
"SBJ69H","SBJ69H",80,3,"CTRL",3
"SBJ73H","SBJ73H",108,5,"CTRL",5
"SBJ74H","SBJ74H",61,1,"CTRL",1
"SBJ75H","SBJ75H",87,8,"CTRL",8
"SBJ77H","SBJ77H",75,5,"CTRL",5
"SBJ78H","SBJ78H",69,4,"CTRL",4
"SBJ79H","SBJ79H",151,3,"CTRL",3
"SBJ80H","SBJ80H",55,3,"CTRL",3
"SBJ81H","SBJ81H",94,7,"CTRL",7
"SBJ82H","SBJ82H",73,5,"CTRL",5
"SBJ83H","SBJ83H",66,8,"CTRL",8
"SBJ84H","SBJ84H",89,9,"CTRL",9
"VF00TL","VF00TL",130,4,"CTRL",4
"VF06","VF06",139,4,"CTRL",4
"VF10","VF10",64,6,"CTRL",6
"VF140","VF140",75,2,"CTRL",2
"VF170","VF170",90,7,"CTRL",7
"VF171","VF171",150,8,"CTRL",8
"VF18","VF18",80,6,"CTRL",6
"VF189","VF189",135,6,"CTRL",6
"VF206","VF206",71,2,"CTRL",2
"VF212","VF212",79,5,"CTRL",5
"VF255","VF255",66,3,"CTRL",3
"VF259","VF259",141,9,"CTRL",9
"VF261","VF261",51,4,"CTRL",4
"VF262","VF262",91,10,"CTRL",10
"VF263","VF263",104,9,"CTRL",9
"VF265","VF265",63,2,"CTRL",2
"VF279","VF279",67,9,"CTRL",9
"VF28","VF28",111,5,"CTRL",5
"VF31","VF31",99,6,"CTRL",6
"VF40","VF40",90,10,"CTRL",10
"VF43","VF43",113,8,"CTRL",8
"VF82","VF82",45,4,"CTRL",4
"VF84","VF84",121,6,"CTRL",6
"CCMD19168690ST","CCMD19168690ST",56,5,"CRC",5
"CCMD21593359ST","CCMD21593359ST",96,3,"CRC",3
"CCMD21703880ST","CCMD21703880ST",62,2,"CRC",2
"CCMD27463710ST","CCMD27463710ST",83,5,"CRC",5
"CCMD35633353ST","CCMD35633353ST",66,1,"CRC",1
"CCMD42956136ST","CCMD42956136ST",142,2,"CRC",2
"CCMD49461418ST","CCMD49461418ST",55,5,"CRC",5
"CCMD52117727ST","CCMD52117727ST",65,6,"CRC",6
"CCMD52145360ST","CCMD52145360ST",64,4,"CRC",4
"CCMD59583015ST","CCMD59583015ST",60,7,"CRC",7
"CCMD65222621ST","CCMD65222621ST",57,4,"CRC",4
"CCMD65406197ST","CCMD65406197ST",150,6,"CRC",6
"CCMD71242853ST","CCMD71242853ST",73,4,"CRC",4
"CCMD71915439ST","CCMD71915439ST",51,1,"CRC",1
"CCMD72690923ST","CCMD72690923ST",58,2,"CRC",2
"CCMD76222476ST","CCMD76222476ST",58,2,"CRC",2
"CCMD79349503ST","CCMD79349503ST",76,4,"CRC",4
"CCMD89306485ST","CCMD89306485ST",36,0,"CRC",0
"CCMD92404903ST","CCMD92404903ST",118,1,"CRC",1
"CCMD95431029ST","CCMD95431029ST",63,1,"CRC",1
"CCMD95676152ST","CCMD95676152ST",72,1,"CRC",1
"CCMD98531134ST","CCMD98531134ST",61,3,"CRC",3
"CCMD10032470ST","CCMD10032470ST",69,6,"CTRL",6
"CCMD10191450ST","CCMD10191450ST",121,1,"CTRL",1
"CCMD15562448ST","CCMD15562448ST",147,7,"CTRL",7
"CCMD17410933ST","CCMD17410933ST",89,4,"CTRL",4
"CCMD18579000ST","CCMD18579000ST",126,2,"CTRL",2
"CCMD18829815ST","CCMD18829815ST",83,5,"CTRL",5
"CCMD22852639ST","CCMD22852639ST",94,0,"CTRL",0
"CCMD23541216ST","CCMD23541216ST",95,3,"CTRL",3
"CCMD25475945ST","CCMD25475945ST",170,13,"CTRL",13
"CCMD26625622ST","CCMD26625622ST",92,5,"CTRL",5
"CCMD27867141ST","CCMD27867141ST",116,9,"CTRL",9
"CCMD28738636ST","CCMD28738636ST",64,2,"CTRL",2
"CCMD29706695ST","CCMD29706695ST",115,4,"CTRL",4
"CCMD30626189ST","CCMD30626189ST",80,5,"CTRL",5
"CCMD30627121ST","CCMD30627121ST",100,8,"CTRL",8
"CCMD31009081ST","CCMD31009081ST",119,4,"CTRL",4
"CCMD31134579ST","CCMD31134579ST",168,10,"CTRL",10
"CCMD32288175ST","CCMD32288175ST",161,11,"CTRL",11
"CCMD32965613ST","CCMD32965613ST",169,5,"CTRL",5
"CCMD35081859ST","CCMD35081859ST",112,2,"CTRL",2
"CCMD35801800ST","CCMD35801800ST",111,2,"CTRL",2
"CCMD37575804ST","CCMD37575804ST",96,0,"CTRL",0
"CCMD38158721ST","CCMD38158721ST",73,10,"CTRL",10
"CCMD39157124ST","CCMD39157124ST",107,6,"CTRL",6
"CCMD39882286ST","CCMD39882286ST",121,4,"CTRL",4
"CCMD41202658ST","CCMD41202658ST",148,4,"CTRL",4
"CCMD41521570ST","CCMD41521570ST",104,1,"CTRL",1
"CCMD45004878ST","CCMD45004878ST",105,4,"CTRL",4
"CCMD45812507ST","CCMD45812507ST",79,4,"CTRL",4
"CCMD46727384ST","CCMD46727384ST",166,7,"CTRL",7
"CCMD49025643ST","CCMD49025643ST",188,16,"CTRL",16
"CCMD49942357ST","CCMD49942357ST",71,2,"CTRL",2
"CCMD50300306ST","CCMD50300306ST",71,1,"CTRL",1
"CCMD50529145ST","CCMD50529145ST",84,1,"CTRL",1
"CCMD50538120ST","CCMD50538120ST",64,0,"CTRL",0
"CCMD51154251ST","CCMD51154251ST",109,7,"CTRL",7
"CCMD51228890ST","CCMD51228890ST",96,4,"CTRL",4
"CCMD53508245ST","CCMD53508245ST",162,4,"CTRL",4
"CCMD53522274ST","CCMD53522274ST",93,2,"CTRL",2
"CCMD54057834ST","CCMD54057834ST",86,4,"CTRL",4
"CCMD56948710ST","CCMD56948710ST",115,2,"CTRL",2
"CCMD59540613ST","CCMD59540613ST",84,0,"CTRL",0
"CCMD66848156ST","CCMD66848156ST",93,1,"CTRL",1
"CCMD67373733ST","CCMD67373733ST",114,2,"CTRL",2
"CCMD68973846ST","CCMD68973846ST",82,4,"CTRL",4
"CCMD72666896ST","CCMD72666896ST",70,6,"CTRL",6
"CCMD73128545ST","CCMD73128545ST",103,9,"CTRL",9
"CCMD74592084ST","CCMD74592084ST",73,4,"CTRL",4
"CCMD75147712ST","CCMD75147712ST",55,0,"CTRL",0
"CCMD76409700ST","CCMD76409700ST",107,3,"CTRL",3
"CCMD85481373ST","CCMD85481373ST",149,6,"CTRL",6
"CCMD85661207ST","CCMD85661207ST",95,3,"CTRL",3
"CCMD89107682ST","CCMD89107682ST",96,4,"CTRL",4
"CCMD89643949ST","CCMD89643949ST",123,3,"CTRL",3
"CCMD89967135ST","CCMD89967135ST",101,7,"CTRL",7
"CCMD93755960ST","CCMD93755960ST",103,1,"CTRL",1
"CCMD98198513ST","CCMD98198513ST",59,2,"CTRL",2
"CCMD98702133ST","CCMD98702133ST",94,8,"CTRL",8
"CCMD99440714ST","CCMD99440714ST",85,5,"CTRL",5
"CCMD99929634ST","CCMD99929634ST",101,3,"CTRL",3
"A10A","A10A",167,8,"CRC",8
"M113A","M113A",191,14,"CRC",14
"M115A","M115A",69,3,"CRC",3
"M116A","M116A",210,4,"CRC",4
"M117A","M117A",125,3,"CRC",3
"M118A","M118A",138,8,"CRC",8
"M122A","M122A",146,7,"CRC",7
"M123A","M123A",140,10,"CRC",10
"M2-PK001A","M2-PK001A",121,11,"CRC",11
"M2-PK002A","M2-PK002A",165,5,"CRC",5
"M2-PK003A","M2-PK003A",147,5,"CRC",5
"M2-PK004A","M2-PK004A",146,3,"CRC",3
"M2-PK005A","M2-PK005A",169,27,"CRC",27
"M2-PK006A","M2-PK006A",114,4,"CRC",4
"M2-PK007A","M2-PK007A",151,14,"CRC",14
"M2-PK008A","M2-PK008A",225,22,"CRC",22
"M2-PK009A","M2-PK009A",215,28,"CRC",28
"M2-PK010A","M2-PK010A",124,7,"CRC",7
"M2-PK011A","M2-PK011A",190,17,"CRC",17
"M2-PK012A","M2-PK012A",136,8,"CRC",8
"M2-PK013A","M2-PK013A",154,24,"CRC",24
"M2-PK014A","M2-PK014A",181,12,"CRC",12
"M2-PK015A","M2-PK015A",182,21,"CRC",21
"M2-PK016A","M2-PK016A",145,8,"CRC",8
"M2-PK017A","M2-PK017A",195,30,"CRC",30
"M2-PK018A","M2-PK018A",95,15,"CRC",15
"M2-PK019A","M2-PK019A",90,3,"CRC",3
"M2-PK021A","M2-PK021A",101,2,"CRC",2
"M2-PK022A","M2-PK022A",103,7,"CRC",7
"M2-PK023A","M2-PK023A",100,4,"CRC",4
"M2-PK024A","M2-PK024A",169,11,"CRC",11
"M2-PK026A","M2-PK026A",160,8,"CRC",8
"M2-PK027A","M2-PK027A",138,5,"CRC",5
"M2-PK029A","M2-PK029A",175,6,"CRC",6
"M2-PK030A","M2-PK030A",145,11,"CRC",11
"M2-PK032A","M2-PK032A",160,7,"CRC",7
"M2-PK037A","M2-PK037A",166,19,"CRC",19
"M2-PK038A","M2-PK038A",180,7,"CRC",7
"M2-PK041A","M2-PK041A",193,14,"CRC",14
"M2-PK042A","M2-PK042A",175,10,"CRC",10
"M2-PK043A","M2-PK043A",182,37,"CRC",37
"M2-PK045A","M2-PK045A",100,10,"CRC",10
"M2-PK046A","M2-PK046A",209,22,"CRC",22
"M2-PK047A","M2-PK047A",197,6,"CRC",6
"M2-PK051A","M2-PK051A",96,9,"CRC",9
"M2-PK052A","M2-PK052A",190,23,"CRC",23
"M2-PK055A","M2-PK055A",93,8,"CRC",8
"M2-PK056B","M2-PK056B",114,4,"CRC",4
"M2-PK059A","M2-PK059A",171,5,"CRC",5
"M2-PK063A","M2-PK063A",100,8,"CRC",8
"M2-PK064A","M2-PK064A",116,15,"CRC",15
"M2-PK065A","M2-PK065A",151,14,"CRC",14
"M2-PK066A","M2-PK066A",101,4,"CRC",4
"M2-PK067A","M2-PK067A",114,6,"CRC",6
"M2-PK069B","M2-PK069B",95,4,"CRC",4
"M2-PK083B","M2-PK083B",218,13,"CRC",13
"M2-PK084A","M2-PK084A",74,5,"CRC",5
"M2-PK085A","M2-PK085A",119,14,"CRC",14
"M84A","M84A",58,4,"CRC",4
"M89A","M89A",175,26,"CRC",26
"MSC103A","MSC103A",229,18,"CRC",18
"MSC119A","MSC119A",96,9,"CRC",9
"MSC120A","MSC120A",149,11,"CRC",11
"MSC1A","MSC1A",116,12,"CRC",12
"MSC45A","MSC45A",202,12,"CRC",12
"MSC4A","MSC4A",99,6,"CRC",6
"MSC54A","MSC54A",148,3,"CRC",3
"MSC5A","MSC5A",106,1,"CRC",1
"MSC63A","MSC63A",91,4,"CRC",4
"MSC6A","MSC6A",101,10,"CRC",10
"MSC76A","MSC76A",143,13,"CRC",13
"MSC78A","MSC78A",164,12,"CRC",12
"MSC79A","MSC79A",125,5,"CRC",5
"MSC81A","MSC81A",201,18,"CRC",18
"S3_043","S3_043",220,20,"CRC",20
"S5_002","S5_002",146,2,"CRC",2
"S5_003","S5_003",99,9,"CRC",9
"S5_006","S5_006",73,6,"CRC",6
"S5_007","S5_007",225,21,"CRC",21
"S5_008","S5_008",193,35,"CRC",35
"S5_009","S5_009",188,13,"CRC",13
"S5_010","S5_010",212,20,"CRC",20
"S5_011","S5_011",210,21,"CRC",21
"S5_012_merged","S5_012_merged",215,14,"CRC",14
"S5_013","S5_013",198,30,"CRC",30
"S5_014","S5_014",106,2,"CRC",2
"S5_015","S5_015",205,10,"CRC",10
"S5_016","S5_016",97,4,"CRC",4
"S5_017","S5_017",228,18,"CRC",18
"S5_018","S5_018",177,27,"CRC",27
"S5_019","S5_019",209,16,"CRC",16
"S5_020","S5_020",200,9,"CRC",9
"S5_021","S5_021",146,8,"CRC",8
"S5_022","S5_022",168,10,"CRC",10
"S5_023","S5_023",243,22,"CRC",22
"S5_025","S5_025",195,24,"CRC",24
"S5_026","S5_026",176,19,"CRC",19
"S5_027","S5_027",118,5,"CRC",5
"S5_028","S5_028",200,9,"CRC",9
"S5_029","S5_029",184,12,"CRC",12
"S5_030","S5_030",472,8,"CRC",8
"S5_031","S5_031",175,8,"CRC",8
"S5_032","S5_032",120,5,"CRC",5
"S5_034","S5_034",201,20,"CRC",20
"S5_035","S5_035",205,11,"CRC",11
"S5_037","S5_037",101,3,"CRC",3
"S5_038","S5_038",189,17,"CRC",17
"S5_039","S5_039",217,19,"CRC",19
"S5_040","S5_040",228,18,"CRC",18
"S5_041","S5_041",192,27,"CRC",27
"S5_042","S5_042",184,5,"CRC",5
"S5_043","S5_043",205,17,"CRC",17
"S5_045","S5_045",114,10,"CRC",10
"S5_047","S5_047",223,12,"CRC",12
"S5_052","S5_052",209,7,"CRC",7
"S5_055","S5_055",186,12,"CRC",12
"S5_055-2","S5_055-2",154,11,"CRC",11
"S5_056","S5_056",242,14,"CRC",14
"S5_057","S5_057",163,12,"CRC",12
"S5_060","S5_060",223,24,"CRC",24
"S5_061","S5_061",123,8,"CRC",8
"S5_062","S5_062",209,17,"CRC",17
"S5_064","S5_064",217,15,"CRC",15
"S5_066","S5_066",185,17,"CRC",17
"S5_068","S5_068",172,21,"CRC",21
"S5_070","S5_070",109,6,"CRC",6
"S5_071","S5_071",176,11,"CRC",11
"S5_072","S5_072",192,9,"CRC",9
"S5_073","S5_073",204,12,"CRC",12
"S5_075","S5_075",182,12,"CRC",12
"S5_076","S5_076",240,20,"CRC",20
"S5_077","S5_077",156,7,"CRC",7
"S5_078","S5_078",191,11,"CRC",11
"S5_080","S5_080",198,11,"CRC",11
"S5_082","S5_082",202,12,"CRC",12
"S5_083","S5_083",183,7,"CRC",7
"S5_084_merged","S5_084_merged",248,24,"CRC",24
"S5_085","S5_085",239,14,"CRC",14
"S5_086","S5_086",225,13,"CRC",13
"S5_087","S5_087",252,25,"CRC",25
"S5_088","S5_088",106,7,"CRC",7
"S5_089","S5_089",151,9,"CRC",9
"S5_091","S5_091",217,35,"CRC",35
"S5_092","S5_092",238,13,"CRC",13
"S5_093","S5_093",189,15,"CRC",15
"S5_094_merged","S5_094_merged",184,11,"CRC",11
"S5_096","S5_096",187,20,"CRC",20
